phrase,category,doc_count,occurrence_count,mean_score,total_score
disaster management industrial,Emerging/Unmapped,1,1,0.5772,0.5772
systems resilience,Resilience,1,1,0.5758,0.5758
applied computing crisis,Emerging/Unmapped,1,1,0.5755,0.5755
infrastructure transportation influence,Emerging/Unmapped,1,1,0.5643,0.5643
natural disasters disaster,Emerging/Unmapped,1,1,0.5614,0.5614
resilience climate adaptation,Sustainability,1,1,0.5603,0.5603
resilience climate adaptation,Resilience,1,1,0.5603,0.5603
resilience climate adaptation,Adaptability,1,1,0.5603,0.5603
negotiated resilience,Resilience,1,1,0.5595,0.5595
performance measures resilience,Resilience,1,1,0.5576,0.5576
index vulnerability index,Emerging/Unmapped,1,1,0.5544,0.5544
stakeholders community,Emerging/Unmapped,1,1,0.5538,0.5538
stakeholder,Emerging/Unmapped,1,1,0.5528,0.5528
term performance pavements,Emerging/Unmapped,1,1,0.5511,0.5511
human centered computing,Emerging/Unmapped,1,1,0.5508,0.5508
sector adaptation,Adaptability,1,1,0.5471,0.5471
seismic hazards,Emerging/Unmapped,1,1,0.5313,0.5313
resilience natural,Resilience,1,1,0.5288,0.5288
transportation measurement,Emerging/Unmapped,1,1,0.5283,0.5283
state departments transportation,Emerging/Unmapped,1,1,0.5248,0.5248
multisector stakeholders,Emerging/Unmapped,1,1,0.5233,0.5233
climate adaptation asset,Sustainability,1,1,0.5149,0.5149
climate adaptation asset,Adaptability,1,1,0.5149,0.5149
reliability robustness responsiveness,Reliability,1,1,0.5143,0.5143
reliability robustness responsiveness,Robustness,1,1,0.5143,0.5143
reliability robustness responsiveness,Responsiveness,1,1,0.5143,0.5143
involvement performance monitoring,Emerging/Unmapped,1,1,0.5114,0.5114
road asset,Emerging/Unmapped,1,1,0.5088,0.5088
adaptation options,Adaptability,1,1,0.5052,0.5052
metrics road asset,Emerging/Unmapped,1,1,0.5021,0.5021
sustainable resilient,Sustainability,1,1,0.5021,0.5021
sustainable resilient,Resilience,1,1,0.5021,0.5021
accessibility index,Accessibility,1,1,0.4966,0.4966
critical infrastructure,Emerging/Unmapped,1,1,0.495,0.495
information systems responsible,Emerging/Unmapped,1,1,0.4943,0.4943
operations management lean,Operational Performance,1,1,0.4938,0.4938
lean transformation value,Emerging/Unmapped,1,1,0.4929,0.4929
urban transportation network,Emerging/Unmapped,1,1,0.4899,0.4899
index accessibility index,Accessibility,1,1,0.4801,0.4801
disaster relief,Emerging/Unmapped,1,1,0.4781,0.4781
vulnerability,Equity,1,1,0.4731,0.4731
systems responsible ai,Emerging/Unmapped,1,1,0.4689,0.4689
involvement performance,Emerging/Unmapped,1,1,0.468,0.468
natural hazards,Emerging/Unmapped,1,1,0.4656,0.9312
reduction critical infrastructure,Emerging/Unmapped,1,1,0.4639,0.4639
influence diagrams,Emerging/Unmapped,1,1,0.4634,0.4634
dots,Emerging/Unmapped,1,1,0.4515,0.4515
transportation influence,Emerging/Unmapped,1,1,0.4476,0.4476
centered computing,Emerging/Unmapped,1,1,0.4425,0.4425
monitoring planning,Emerging/Unmapped,1,1,0.4379,0.4379
extreme weather,Emerging/Unmapped,1,1,0.4355,0.4355
index reliability,Reliability,1,1,0.4323,0.4323
stakeholder centered assessment,Emerging/Unmapped,1,1,0.432,0.432
value priority value,Emerging/Unmapped,1,1,0.4296,0.4296
responsiveness recoverability placement,Recoverability,1,1,0.428,0.428
responsiveness recoverability placement,Responsiveness,1,1,0.428,0.428
recoverability,Recoverability,1,1,0.4258,0.4258
adaptation asset management,Adaptability,1,1,0.4228,0.4228
mobility,Mobility,1,1,0.4197,0.4197
computing information management,Emerging/Unmapped,1,1,0.4134,0.4134
index vulnerability,Emerging/Unmapped,1,1,0.4127,0.4127
lifelines,Emerging/Unmapped,1,1,0.4113,0.4113
reliability,Reliability,1,1,0.4088,0.4088
social,Equity,1,1,0.4048,0.4048
value dynamics,Emerging/Unmapped,1,1,0.4028,0.4028
involvement,Emerging/Unmapped,1,1,0.4001,0.4001
disaster,Recoverability,1,1,0.3998,0.3998
disaster,Resilience,1,1,0.3998,0.3998
equity human,Equity,1,1,0.398,0.398
redundancy resourceful ness,Redundancy,1,1,0.3957,0.3957
transformation value stream,Emerging/Unmapped,1,1,0.3915,0.3915
sustainable,Sustainability,1,1,0.3852,0.3852
droughts flooding freeze,Emerging/Unmapped,1,1,0.3849,0.3849
justice asset management,Equity,1,1,0.3832,0.3832
planning analysis decision,Emerging/Unmapped,1,1,0.3831,0.3831
equity social,Equity,1,1,0.381,0.381
storms hurricanes major,Emerging/Unmapped,1,1,0.3782,0.3782
seismic,Emerging/Unmapped,1,1,0.3759,0.3759
management road network,Emerging/Unmapped,1,1,0.3754,0.3754
performance management,Emerging/Unmapped,1,1,0.3754,0.3754
accessibility,Accessibility,1,1,0.37525,0.7505
crisis,Emerging/Unmapped,1,1,0.3741,0.3741
transportation public,Emerging/Unmapped,1,1,0.3733,0.3733
assessment 8rs principal,Emerging/Unmapped,1,1,0.373,0.373
social justice,Equity,1,1,0.3711,0.3711
ai,Restoration Speed,1,1,0.3686,0.3686
ai,Equity,1,1,0.3686,0.3686
ai,Economic Continuity,1,1,0.3686,0.3686
ai,Resource Availability,1,1,0.3686,0.3686
ai,Sustainability,1,1,0.3686,0.3686
ai,Pollution Prevention,1,1,0.3686,0.3686
ai,Serviceability,1,1,0.3686,0.3686
nations definitions resilience,Resilience,1,1,0.3677,0.3677
vulnerable,Equity,1,1,0.3652,0.3652
kpi responsiveness disaster,Responsiveness,1,1,0.3648,0.3648
hurricane flood tsunami,Emerging/Unmapped,1,1,0.3639,0.3639
indonesia event,Emerging/Unmapped,1,1,0.3617,0.3617
disruptionlevelofservicewithinareasonable timeframe freckleton,Emerging/Unmapped,1,1,0.3608,0.3608
durability long,Emerging/Unmapped,1,1,0.3597,0.3597
human centered,Emerging/Unmapped,1,1,0.3596,0.3596
postdisaster situations client,Emerging/Unmapped,1,1,0.3595,0.3595
performance monitoring planning,Emerging/Unmapped,1,1,0.359,0.359
ness reliability,Reliability,1,1,0.3556,0.3556
weather events,Emerging/Unmapped,1,1,0.3547,0.3547
engagement,Emerging/Unmapped,1,1,0.3514,0.3514
principal concepts redundancy,Redundancy,1,1,0.3504,0.3504
dots methodology,Emerging/Unmapped,1,1,0.3464,0.3464
strike breakdown caused,Emerging/Unmapped,1,1,0.346,0.346
planning,Flexibility,1,1,0.3457,0.3457
planning,Adaptability,1,1,0.3457,0.3457
risk reduction,Safety,1,1,0.3453,0.3453
change vulnerability,Emerging/Unmapped,1,1,0.3448,0.3448
long term performance,Emerging/Unmapped,1,1,0.3436,0.3436
road,Connectivity,1,1,0.3388,0.3388
road,Capacity,1,1,0.3388,0.3388
road,Accessibility,1,1,0.3388,0.3388
stream mapping kpi,Emerging/Unmapped,1,1,0.3373,0.3373
asset element,Emerging/Unmapped,1,1,0.3364,0.3364
risk,Safety,1,1,0.3351,0.3351
weather radar capable,Emerging/Unmapped,1,1,0.3346,0.3346
needs,Emerging/Unmapped,1,1,0.3345,0.3345
capable accommodating climatic,Emerging/Unmapped,1,1,0.3313,0.3313
wildfire hazard events,Emerging/Unmapped,1,1,0.3302,0.3302
zealand philippine national,Emerging/Unmapped,1,1,0.328,0.328
term critical,Emerging/Unmapped,1,1,0.3224,0.3224
robustness,Robustness,1,1,0.3223,0.3223
climate related stressor,Emerging/Unmapped,1,1,0.3221,0.3221
reduce community,Emerging/Unmapped,1,1,0.322,0.322
diagrams,Emerging/Unmapped,1,1,0.3213,0.3213
performance reporting performance,Emerging/Unmapped,1,1,0.3188,0.3188
adaptation mitigating emissions,Adaptability,1,1,0.3183,0.3183
tasks organization additional,Emerging/Unmapped,1,1,0.3175,0.3175
wastewater systems susceptible,Emerging/Unmapped,1,1,0.3175,0.3175
use selected lean,Emerging/Unmapped,1,1,0.3174,0.3174
asset management organizational,Emerging/Unmapped,1,1,0.3141,0.3141
valuable agencies nonexistent,Emerging/Unmapped,1,1,0.31,0.31
model calculation disruption,Emerging/Unmapped,1,1,0.3083,0.3083
management circle information,Emerging/Unmapped,1,1,0.3049,0.3049
conditions vehicles vehicular,Emerging/Unmapped,1,1,0.3023,0.3023
italy,Emerging/Unmapped,1,1,0.3022,0.3022
vulnerable users corresponding,Emerging/Unmapped,1,1,0.3003,0.3003
recovery facing interruptions,Recoverability,1,1,0.2998,0.2998
management measures traditional,Emerging/Unmapped,1,1,0.299,0.299
public,Safety,1,1,0.298,0.298
public,Accessibility,1,1,0.298,0.298
public,Public Health Support,1,1,0.298,0.298
change adaptation,Adaptability,1,1,0.2975,0.2975
zones disproportionately affected,Emerging/Unmapped,1,1,0.2933,0.2933
monitoring,Emerging/Unmapped,1,1,0.2921,0.2921
projects receiving federal,Emerging/Unmapped,1,1,0.2912,0.2912
earthquakes inevitably deviate,Emerging/Unmapped,1,1,0.2905,0.2905
metro 2005 reduced,Emerging/Unmapped,1,1,0.29,0.29
congestion index taylor,Emerging/Unmapped,1,1,0.2882,0.2882
snowstorms cyclones frequently,Emerging/Unmapped,1,1,0.2876,0.2876
communicating need help,Emerging/Unmapped,1,1,0.2858,0.2858
causing severe delays,Emerging/Unmapped,1,1,0.279,0.279
events risk management,Emerging/Unmapped,1,1,0.2777,0.2777
years fig hazard,Emerging/Unmapped,1,1,0.2741,0.2741
identification integration multisector,Emerging/Unmapped,1,1,0.2726,0.2726
data storage capacities,Emerging/Unmapped,1,1,0.2718,0.2718
research develop approaches,Emerging/Unmapped,1,1,0.2704,0.2704
stable state pressure,Emerging/Unmapped,1,1,0.269,0.269
needs performance assessment,Emerging/Unmapped,1,1,0.268,0.268
mapping,Emerging/Unmapped,1,1,0.2676,0.2676
68 italy,Emerging/Unmapped,1,1,0.2669,0.2669
